Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2250,2561,-0.31813038134457,-1.96425855618169,-0.0279103608689866,-0.000591,0.002567,-0.006262,-0.005742,0.109236,321.530818,24.368180,0.999615,0.992015,0.003614,0.301637,-0.000040,-0.000044,-0.000005,-0.000037,-0.000047,-34.526326,0.000084,
2040,2081,-4.80938121704507,-12.4622894239924,0.0118966605032256,-0.000508,0.002772,-0.006595,-0.004245,0.107051,330.587362,25.031955,0.999155,0.985371,0.004683,0.123122,-0.000067,-0.000053,-0.000015,-0.000043,-0.000077,-57.503885,0.000121,
2175,2396,-1.92061113245641,-5.56792706793657,-0.0137731820533418,-0.000211,0.003184,-0.006226,0.010665,0.141198,324.589794,24.397971,0.999172,0.989966,0.004159,0.266509,-0.000020,-0.000016,0.000008,-0.000009,-0.000026,50.965210,0.000037,
2430,2906,3.53274236270157,5.55891381329078,-0.0263317748870122,-0.000972,0.002341,-0.004527,-0.026894,0.108725,315.746451,25.304787,0.999659,0.992432,0.003425,0.246248,-0.000030,-0.000039,-0.000018,-0.000015,-0.000053,-38.185459,0.000072,
2385,2831,2.56823916818796,3.92577667782178,-0.0367678233515107,-0.000523,0.002519,-0.005767,-0.002244,0.117512,316.886178,25.039799,0.999567,0.989970,0.003926,0.220187,-0.000036,-0.000032,-0.000016,-0.000017,-0.000050,-49.036098,0.000070,
2175,2411,-1.92308264821894,-5.2408143482334,-0.00895000984792205,-0.000328,0.002639,-0.004183,-0.001220,0.119845,324.370818,24.428136,0.999159,0.989629,0.004110,0.228573,-0.000020,-0.000019,0.000006,-0.000013,-0.000026,48.752995,0.000039,
2100,2186,-3.51806352946843,-10.1629150356258,0.00487684579741199,0.000011,0.003144,-0.007985,0.024749,0.113906,328.519150,24.609938,0.999081,0.984719,0.004975,0.212010,-0.000035,0.000003,0.000012,0.000006,-0.000039,74.119349,0.000042,
2025,2051,-5.13085262688209,-13.1209532740473,0.0246252843340926,-0.000346,0.002576,-0.006878,0.003655,0.089135,331.282084,25.179260,0.999756,0.993919,0.003294,0.062148,-0.000105,-0.000113,-0.000080,-0.000029,-0.000189,-43.617764,0.000237,
2280,2621,0.324157638148368,-0.654484941986347,-0.0301286909157739,-0.000395,0.002778,-0.009280,0.013844,0.088645,320.488053,24.479744,0.999291,0.988871,0.004130,0.238573,-0.000033,-0.000026,-0.000004,-0.000024,-0.000034,-67.923933,0.000059,
2160,2321,-2.23417322020683,-7.20849080688776,-0.00976517477340622,-0.000159,0.002793,-0.008187,0.018631,0.101333,325.920733,24.348437,0.999187,0.987219,0.004499,0.263749,-0.000024,0.000015,-0.000003,0.000015,-0.000024,-84.874023,0.000025,
2025,2066,-5.13314077541424,-12.793645013768,0.0238174233636528,-0.000384,0.002904,-0.006783,0.001785,0.106390,331.028741,25.005915,0.999756,0.993542,0.003351,0.246334,-0.000086,-0.000092,-0.000055,-0.000034,-0.000145,-43.519906,0.000189,
2055,2111,-4.48723110979757,-11.804841609599,0.00154212058919256,-0.000242,0.003127,-0.009694,0.017036,0.100976,329.945683,24.850845,0.999127,0.984701,0.004954,0.201868,-0.000050,-0.000040,0.000014,-0.000030,-0.000060,55.119063,0.000092,
2040,2096,-4.81082597859008,-12.1345284170635,0.0174620495826616,-0.000257,0.003153,-0.010007,0.016816,0.114489,330.409051,24.992631,0.999182,0.985112,0.004774,0.165040,-0.000059,-0.000054,-0.000004,-0.000052,-0.000062,-60.296634,0.000114,
2145,2261,-2.55113569192241,-8.51973148276596,-0.0110997958100256,-0.000230,0.002931,-0.007802,0.013944,0.098020,326.948648,24.453497,0.999014,0.982970,0.005213,0.173438,-0.000032,0.000003,0.000000,0.000003,-0.000032,89.919629,0.000035,
