Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2191,2923,-1.51411841257996,6.05344888205634,-0.00899326254398147,0.004010,0.001137,0.000841,0.182522,0.079251,316.387770,24.686349,0.999428,0.990972,0.003824,0.392158,-0.000003,-0.000009,0.000007,0.000001,-0.000013,33.072485,0.000015,
2476,2923,4.68105790090563,6.07234726556574,-0.0230310844687551,0.003814,0.001129,-0.002714,0.186041,0.046753,316.174230,25.326297,0.999357,0.986213,0.004436,0.313796,-0.000013,-0.000038,-0.000008,-0.000011,-0.000040,-17.582363,0.000054,
2416,2638,3.4314575787215,-0.138066053138139,-0.0263160528764956,0.004099,0.001350,-0.004147,0.203841,0.046163,320.700575,24.267999,0.999470,0.988772,0.004146,0.339311,0.000003,-0.000008,-0.000008,0.000007,-0.000013,-28.884018,0.000013,
2266,3298,0.048699588638744,14.1926625390513,0.00914803226538652,0.004011,0.000645,-0.001026,0.188532,0.023062,310.233141,25.475666,0.999618,0.993164,0.003370,0.315159,0.000007,0.000006,0.000027,0.000034,-0.000021,44.268339,0.000034,
2161,2758,-2.13900109768178,2.46504671763932,-0.0248460728815871,0.003983,0.000760,0.002505,0.175983,0.061269,319.034302,24.465077,0.999284,0.987485,0.004200,0.424469,0.000000,-0.000033,-0.000003,0.000000,-0.000033,-5.756332,0.000038,
2101,2473,-3.39630405966846,-3.74662766256345,-0.0182655094680513,0.003899,0.000957,-0.001684,0.184524,0.052014,323.965491,24.423665,0.999371,0.988780,0.004265,0.391866,0.000011,-0.000016,0.000010,0.000015,-0.000019,18.388788,0.000020,
2251,3223,-0.260719673754981,12.5637225798226,0.0463107183219904,0.003897,0.000835,0.000746,0.177580,0.060583,311.792259,25.229921,0.999704,0.994663,0.003154,0.402489,0.000004,-0.000008,0.000006,0.000006,-0.000011,23.136208,0.000011,
2011,2038,-5.28791324025785,-13.2621781466265,0.00966099349568594,0.004255,0.001442,-0.002667,0.202905,0.049832,331.710114,24.938339,0.998310,0.980588,0.005552,0.360338,0.000006,-0.000078,0.000028,0.000014,-0.000087,16.757550,0.000093,
2116,2578,-3.08732353734384,-1.45632685555606,-0.0228797515567862,0.003809,0.000792,-0.000644,0.177433,0.061382,322.153279,24.401070,0.999387,0.989881,0.004191,0.420524,0.000009,-0.000005,0.000010,0.000015,-0.000010,27.998455,0.000015,
2131,2623,-2.76824062652415,-0.474862429685523,-0.0248529756850644,0.004014,0.001505,-0.003765,0.196489,0.073801,321.361881,24.416323,0.999463,0.989625,0.004176,0.417549,0.000009,-0.000015,0.000008,0.000012,-0.000017,17.598548,0.000018,
